order_id,customer_name,email,product,region,revenue,units_sold,sale_date,discount_pct,sales_rep
1001,,,Product_A,South,486.07,28,2025-01-01,23.2,Alice
1002,Client 1,client1@example.com,Product_A,East,445.48,28,2025-01-01,18.2,Ethan
1003,Client 2,client2@example.com,Product_D,North,1760.29,21,2025-01-01,14.8,Bob
1004,Client 3,client3@example.com,Product_C,East,31.35,10,2025-01-02,27.4,Bob
1005,Client 4,client4@example.com,Product_A,South,57.21,27,2025-01-02,11.3,Diana
1006,Client 5,client5@example.com,Product_D,North,352.69,15,2025-01-02,6.6,Ethan
1007,Client 6,client6@example.com,Product_A,South,374.45,17,2025-01-03,18.2,Bob
1008,Client 7,,Product_B,,20.37,39,2025-01-03,18.7,Diana
1009,Client 8,client8@example.com,Product_B,North,873.93,35,2025-01-03,13.2,Alice
1010,Client 9,client9@example.com,Product_B,South,341.32,5,2025-01-04,14.6,Diana
1011,Client 10,client10@example.com,Product_D,North,212.82,16,2025-01-04,28.8,Alice
1012,Client 11,client11@example.com,Product_C,East,191.99,23,2025-01-04,22.0,Carlos
1013,Client 12,client12@example.com,Product_B,West,988.11,39,2025-01-05,3.3,Carlos
1014,Client 13,client13@example.com,Product_B,South,109.53,48,2025-01-05,6.4,Diana
1015,Client 14,,Product_A,North,87.43,9,2025-01-05,29.3,Carlos
1016,Client 15,client15@example.com,Product_B,,119.88,33,2025-01-06,21.8,Ethan
1017,Client 16,client16@example.com,Product_C,East,490.44,35,2025-01-06,27.5,Diana
1018,Client 17,client17@example.com,Product_D,East,832.82,40,2025-01-06,9.1,Bob
1019,Client 18,client18@example.com,Product_B,South,200.97,24,2025-01-07,22.3,Ethan
1020,Client 19,client19@example.com,Product_D,North,95.25,24,2025-01-07,21.4,Diana
1021,,client20@example.com,Product_D,East,117.35,24,2025-01-07,8.8,Alice
1022,Client 21,,Product_C,South,482.72,19,2025-01-08,16.5,Carlos
1023,Client 22,client22@example.com,Product_A,South,141.2,39,2025-01-08,18.8,Carlos
1024,Client 23,client23@example.com,Product_A,North,1048.93,25,2025-01-08,14.4,Carlos
1025,Client 24,client24@example.com,Product_D,South,54.85,31,2025-01-09,24.8,Diana
1026,Client 25,client25@example.com,Product_B,West,16.45,38,2025-01-09,25.0,Ethan
1027,Client 26,client26@example.com,Product_D,,46.27,25,2025-01-09,25.5,Alice
1028,Client 27,client27@example.com,Product_A,North,934.24,27,2025-01-10,24.1,Carlos
1029,Client 28,,Product_B,East,526.67,32,2025-01-10,14.6,Ethan
1030,Client 29,client29@example.com,Product_A,East,1582.01,11,2025-01-10,11.4,Bob
1031,Client 30,client30@example.com,Product_C,West,204.96,5,2025-01-11,24.9,Bob
1032,Client 31,client31@example.com,Product_A,West,119.56,44,2025-01-11,14.7,Alice
1033,Client 32,client32@example.com,Product_B,,412.74,33,2025-01-11,7.4,Carlos
1034,Client 33,client33@example.com,Product_B,,385.91,19,2025-01-12,15.2,Bob
1035,Client 34,client34@example.com,Product_D,North,447.05,43,2025-01-12,4.3,Ethan
1036,Client 35,,Product_B,East,213.5,47,2025-01-12,20.7,Ethan
1037,Client 36,client36@example.com,Product_C,South,2.96,16,2025-01-13,10.1,Bob
1038,Client 37,client37@example.com,Product_A,North,17.83,35,2025-01-13,7.8,Carlos
1039,Client 38,client38@example.com,Product_D,North,545.06,11,2025-01-13,28.7,Alice
1040,Client 39,client39@example.com,Product_D,North,370.39,11,2025-01-14,23.3,Carlos
1041,,client40@example.com,Product_B,West,860.22,10,2025-01-14,23.6,Diana
1042,Client 41,client41@example.com,Product_C,South,178.63,34,2025-01-14,18.7,Bob
1043,Client 42,,Product_D,West,99999.99,5,2025-01-15,25.2,Diana
